title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
"HOT, FLAT, AND CROWDED",Thomas L. Friedman,"Farrar, Straus & Giroux","How a green revolution can renew America, by the New York Times columnist.",8,17,9780374166854,hardcover-nonfiction,2009-01-20
TOO FAT TO FISH,Artie Lange with Anthony Bozza,Spiegel & Grau,"Humorous memories from the comedian, a member of the cast of “The Howard Stern Show.”",9,8,9780385526562,hardcover-nonfiction,2009-01-20
THE SNOWBALL,Alice Schroeder,Bantam,The life of Warren Buffett.,10,14,9780553805093,hardcover-nonfiction,2009-01-20
THE RETURN OF DEPRESSION ECONOMICS AND THE CRISIS OF 2008,Paul Krugman,Norton,"The origins of the current financial crisis and how it can be contained, by the Nobel Prize-winning economist.",11,1,9780393071016,hardcover-nonfiction,2009-01-20
THE ASCENT OF MONEY,Niall Ferguson,Penguin Press,"A financial history of the world, stressing the link between politics and economics.",12,4,9781594201929,hardcover-nonfiction,2009-01-20
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,13,25,9781416954125,hardcover-nonfiction,2009-01-20
DO THE RIGHT THING,Mike Huckabee,Sentinel,A campaign memoir and statement of principles from the former Republican presidential aspirant.,14,7,9781595230546,hardcover-nonfiction,2009-01-20
LETTER TO MY DAUGHTER,Maya Angelou,Random House,"Reminiscences, appreciations and poems.",15,11,9781400066124,hardcover-nonfiction,2009-01-20
THE AMERICAN JOURNEY OF BARACK OBAMA,the editors of Life magazine,"Little, Brown","Photographs and essays, starting with Obama’s birth in Hawaii.",16,8,9780316045605,hardcover-nonfiction,2009-01-20
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,17,0,9780316143479,hardcover-nonfiction,2009-01-20
MY STROKE OF INSIGHT,Jill Bolte Taylor,Viking,A brain scientist shares what she learned from her 1996 stroke.,18,0,9780670020744,hardcover-nonfiction,2009-01-20
PANIC!,Michael Lewis,Norton,,19,0,9780393065145,hardcover-nonfiction,2009-01-20
NO LIMITS,Michael Phelps with Alan Abrahamson,Free Press,Secrets of the swimmer’s success.,20,0,9781439130728,hardcover-nonfiction,2009-01-20
THE AUDACITY OF HOPE,Barack Obama,Crown,The Illinois senator proposes that Americans move beyond their political divisions.,21,0,9780307455871,hardcover-nonfiction,2009-01-20
TIME PRESIDENT OBAMA,Adi Ignatius,Time Books,"Obama’s path to the White House, with reporting by Time magazine’s political team and photographs by Callie Shell-Aurora.",22,0,9781603200721,hardcover-nonfiction,2009-01-20
IN DEFENSE OF FOOD,Michael Pollan,Penguin Press,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,23,0,9781594201455,hardcover-nonfiction,2009-01-20
ANNIE LEIBOVITZ AT WORK,Annie Leibovitz,Random House,"Memorable photographs, and a text — part memoir, part commentary — based on conversations with the book’s editor.",24,0,9780375505102,hardcover-nonfiction,2009-01-20
THE FOREVER WAR,Dexter Filkins,Knopf,A distillation of his work in Iraq and Afghanistan by the New York Times correspondent.,25,0,9780307266392,hardcover-nonfiction,2009-01-20
THE BLACK SWAN,Nassim Nicholas Taleb,Random House,The role of the unexpected.,26,0,9781400063512,hardcover-nonfiction,2009-01-20
ALEX AND ME,Irene Pepperberg,Collins,,27,0,9780061672477,hardcover-nonfiction,2009-01-20
CALL ME TED,Ted Turner with Bill Burke,Grand Central,The entrepreneur’s personal story.,28,0,9780446581899,hardcover-nonfiction,2009-01-20
THE 10 BIG LIES ABOUT AMERICA,Michael Medved,Crown Forum,,29,0,9780307394064,hardcover-nonfiction,2009-01-20
FLEECED,Dick Morris and Eileen McGann,Harper,"Americans are fleeced by government, business, labor unions and lobbyists.",30,0,9780061547751,hardcover-nonfiction,2009-01-20
THE REASON FOR GOD,Timothy Keller,Riverhead,A minister addresses common doubts and defends faith in a Christian God.,31,0,9780525950493,hardcover-nonfiction,2009-01-20
PREDICTABLY IRRATIONAL,Dan Ariely,Harper,The hidden forces that shape our decisions.,32,0,9780061353239,hardcover-nonfiction,2009-01-20
MRS. ASTOR REGRETS,Meryl Gordon,Houghton Mifflin,,33,0,9780618893737,hardcover-nonfiction,2009-01-20
A JOURNAL FOR JORDAN,Dana Canedy,Crown,,34,0,9780307395795,hardcover-nonfiction,2009-01-20
THE POST-AMERICAN WORLD: RELEASE 2.0,Fareed Zakaria,Norton,The rise of China and India and the global distribution of power.,35,0,9780393062359,hardcover-nonfiction,2009-01-20
PLUM SPOOKY,Janet Evanovich,St. Martin’s,"The bounty hunter Stephanie Plum hunts an evil genius and his sidekick, who are hiding in New Jersey’s Pine Barrens.",1,1,9781427205995,hardcover-fiction,2009-01-27
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",2,35,9780316068048,hardcover-fiction,2009-01-27
BLACK OPS,W. E. B. Griffin,Putnam,An Army officer and special presidential agent is targeted for death — but by whom?,3,2,9780399155178,hardcover-fiction,2009-01-27
SCARPETTA,Patricia Cornwell,Putnam,The forensic pathologist Kay Scarpetta takes an assignment in New York City.,4,6,9780399155161,hardcover-fiction,2009-01-27
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,5,31,9780061374227,hardcover-fiction,2009-01-27
CROSS COUNTRY,James Patterson,"Little, Brown",Alex Cross chases the leader of a lethal teenage gang.,6,8,9780316018722,hardcover-fiction,2009-01-27
FIRE AND ICE,Julie Garwood,Ballantine,A reporter and her F.B.I. bodyguard uncover a conspiracy in Alaska.,7,2,9780345500755,hardcover-fiction,2009-01-27
THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,A man reconstructs five generations of family history.,8,9,9780060393496,hardcover-fiction,2009-01-27
ECLIPSE,Richard North Patterson,Holt,A San Francisco lawyer agrees to defend a Nigerian reformer whose wife he loved in college.,9,1,9780805087727,hardcover-fiction,2009-01-27
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,"After World War II, a journalist seeks out Guernsey residents who resisted the Nazi occupation.",10,17,9780385340991,hardcover-fiction,2009-01-27
FROM DEAD TO WORSE,Charlaine Harris,Ace,"Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",11,3,9780441015894,hardcover-fiction,2009-01-27
RUNNING HOT,Jayne Ann Krentz,Putnam,"Two members of the Arcane Society, dedicated to paranormal research, encounter a group of criminal sensitives.",12,2,9780399155215,hardcover-fiction,2009-01-27
A MERCY,Toni Morrison,Knopf,"In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.",13,9,9780307264237,hardcover-fiction,2009-01-27
THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Threshold Editions,A boy learns from his disappointment with his mother’s gift.,14,9,9781416594857,hardcover-fiction,2009-01-27
DIVINE JUSTICE,David Baldacci,Grand Central,"Members of Washington’s Camel Club rally to save their leader, who is hiding out in the town of Divine, Va.",15,10,9780446195508,hardcover-fiction,2009-01-27
THE LUCKY ONE,Nicholas Sparks,Grand Central,A Marine returning home sets out to track down the woman whose photo he found in Iraq.,16,15,9780446579933,hardcover-fiction,2009-01-27
ARCTIC DRIFT,Clive Cussler and Dirk Cussler,Putnam,"In his 20th adventure, Dirk Pitt searches for a crucial element that will help reverse global warming.",17,0,9780399155291,hardcover-fiction,2009-01-27
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.,18,0,9780307269751,hardcover-fiction,2009-01-27
THE GATE HOUSE,Nelson DeMille,Grand Central,In a sequel to “The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.,19,0,9780446533423,hardcover-fiction,2009-01-27
JUST AFTER SUNSET,Stephen King,Scribner,A collection of short stories that blend fantasy and psychological realism.,20,0,9781439115305,hardcover-fiction,2009-01-27
THE PRIVATE PATIENT,P. D. James,Knopf,Cmdr. Adam Dalgliesh investigates the murder of a journalist who had been a patient at a private clinic.,21,0,9780307270771,hardcover-fiction,2009-01-27
MIDNIGHT,Sister Souljah,Atria,A boy from Sudan struggles to protect his mother and sister and remain true to his Islamic principles in a Brooklyn housing project.,22,0,9781416545187,hardcover-fiction,2009-01-27
THE CHARLEMAGNE PURSUIT,Steve Berry,Ballantine,"The former Justice Department operative Cotton Malone searches for the truth about his father’s death on a secret submarine mission to the Antarctic; an underground city, Nazis and an artifact from Charlemagne’s tomb are involved.",23,0,9780345485793,hardcover-fiction,2009-01-27
THREE WEEKS TO SAY GOODBYE,C. J. Box,St. Martin’s Minotaur,,24,0,9780312365721,hardcover-fiction,2009-01-27
A LION AMONG MEN,Gregory Maguire,Morrow,"A looming civil war in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.",25,0,9780060548926,hardcover-fiction,2009-01-27
