title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,1,1,9780316018708,hardcover-fiction,2008-07-01
NOTHING TO LOSE,Lee Child,Delacorte,Jack Reacher exposes the secrets of a Colorado town.,2,2,9780385340564,hardcover-fiction,2008-07-01
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",3,6,9780316068048,hardcover-fiction,2008-07-01
PLAGUE SHIP,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,4,2,9780399154973,hardcover-fiction,2008-07-01
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,5,5,9780312348670,hardcover-fiction,2008-07-01
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",6,3,9780743290111,hardcover-fiction,2008-07-01
THE BROKEN WINDOW,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,7,1,9781416549970,hardcover-fiction,2008-07-01
ODD HOURS,Dean R. Koontz,Bantam,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",8,4,9780553807059,hardcover-fiction,2008-07-01
MARRIED LOVERS,Jackie Collins,St. Martin’s,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,9,1,9780312341817,hardcover-fiction,2008-07-01
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love.,10,7,9780399155000,hardcover-fiction,2008-07-01
DEATH AND HONOR,W. E. B. Griffin and William E. Butterworth IV,Putnam,A Marine pilot spies in Argentina in 1943; the fourth book in the Honor Bound series.,11,2,9780399154980,hardcover-fiction,2008-07-01
BLOOD NOIR,Laurell K. Hamilton,Berkley,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,12,3,9780425222195,hardcover-fiction,2008-07-01
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",13,4,9780061537936,hardcover-fiction,2008-07-01
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,14,1,9780061374227,hardcover-fiction,2008-07-01
DEVIL MAY CARE,Sebastian Faulks,Doubleday,James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.,15,3,9780385524285,hardcover-fiction,2008-07-01
THE APPEAL,John Grisham,Doubleday Publishing,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,16,0,9780385515047,hardcover-fiction,2008-07-01
THE SPIES OF WARSAW,Alan Furst,Random House,Intrigue in Poland just before World War II.,17,0,9781400066025,hardcover-fiction,2008-07-01
SNUFF,Chuck Palahniuk,Anchor,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,18,0,9780385517881,hardcover-fiction,2008-07-01
THE BRIEF WONDROUS LIFE OF OSCAR WAO,Junot Díaz,Riverhead,A nerdy Dominican-American struggles to escape a family curse.,19,0,9781594489587,hardcover-fiction,2008-07-01
SHADOW OF POWER,Steve Martini,Morrow,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,20,0,9780061230882,hardcover-fiction,2008-07-01
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,1,2,9780316143479,hardcover-nonfiction,2008-07-01
WHAT HAPPENED,Scott McClellan,PublicAffairs,A former White House press secretary regrets that “I allowed myself to be deceived” by top officials.,2,3,9781586485566,hardcover-nonfiction,2008-07-01
ALWAYS BY MY SIDE,Jim Nantz with Eli Spielman,Gotham,"Remembering two decades with CBS Sports, with a focus on father-son relationships.",3,4,9781592403615,hardcover-nonfiction,2008-07-01
THE MONSTER OF FLORENCE,Douglas Preston with Mario Spezi,Grand Central,An American writer who moved to Florence works with an Italian journalist to discover the identity of a local serial killer.,4,1,9780446581196,hardcover-nonfiction,2008-07-01
THE POST-AMERICAN WORLD: RELEASE 2.0,Fareed Zakaria,Norton,The rise of China and India and the global distribution of power.,5,7,9780393062359,hardcover-nonfiction,2008-07-01
THE REVOLUTION,Ron Paul,Grand Central,A liberatarian manifesto from the Texas congressman and Republican candidate.,6,6,9780446537513,hardcover-nonfiction,2008-07-01
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,7,8,9781416954125,hardcover-nonfiction,2008-07-01
AUDITION,Barbara Walters,Knopf,A personal and professional memoir.,8,6,9780739327302,hardcover-nonfiction,2008-07-01
ME OF LITTLE FAITH,Lewis Black,Riverhead,The stand-up comedian’s essays about religion.,9,2,9781594489945,hardcover-nonfiction,2008-07-01
"CHURCHILL, HITLER, AND “THE UNNECESSARY WAR,”",Patrick J. Buchanan,Crown,"British blunders led to World War II, Buchanan argues.",10,3,9780307405159,hardcover-nonfiction,2008-07-01
THE BEST GAME EVER,Mark Bowden,"Atlantic, $23",The 1958 National Football League championship game between the Baltimore Colts and the New York Giants.,11,1,9780871139887,hardcover-nonfiction,2008-07-01
THE DRUNKARD’S WALK,Leonard Mlodinow,Vintage,How we misunderstand the significance of chance in our daily lives.,12,1,9780375424045,hardcover-nonfiction,2008-07-01
THE REVOLUTION,Ron Paul,Grand Central,A liberatarian manifesto from the Texas congressman and Republican candidate.,13,8,9780446537513,hardcover-nonfiction,2008-07-01
I AM AMERICA (AND SO CAN YOU!),Stephen Colbert,Grand Central,The wit and wisdom of the mock pundit of Comedy Central’s “Colbert Report.”,14,26,9780446580502,hardcover-nonfiction,2008-07-01
A TIME TO FIGHT,Jim Webb,Broadway,The Democratic senator from Virginia offers his political vision.,15,3,9780767928359,hardcover-nonfiction,2008-07-01
THE LAST CAMPAIGN,Thurston Clarke,Holt,Robert Kennedy’s 1968 campaign for the presidency.,16,2,9780805077926,hardcover-nonfiction,2008-07-01
THE PROSECUTION OF GEORGE W. BUSH FOR MURDER,Vincent Bugliosi,Vanguard,"The Manson prosecutor makes a case for trying the president for the deaths of 4,000 American soldiers in Iraq.",17,0,9781593154813,hardcover-nonfiction,2008-07-01
UP TILL NOW,William Shatner,Thomas Dunne/St. Martin’s,Captain Kirk's autobiography.,18,0,9780312372651,hardcover-nonfiction,2008-07-01
STOLEN INNOCENCE,Elissa Wall with Lisa Pulitzer,Harper,The star witness against the polygamous sect leader Warren Jeffs describes how he forced her to marry her first cousin when she was 14.,19,0,9780061628016,hardcover-nonfiction,2008-07-01
A CHAMPION'S MIND,Peter Bodo,Crown Publishing Group,The tennis star reviews his life and career.,20,0,9780307383297,hardcover-nonfiction,2008-07-01
FEARLESS FOURTEEN,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,1,1,9780312349516,hardcover-fiction,2008-07-08
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,2,2,9780316018708,hardcover-fiction,2008-07-08
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",3,7,9780316068048,hardcover-fiction,2008-07-08
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",4,4,9780743290111,hardcover-fiction,2008-07-08
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,5,6,9780312348670,hardcover-fiction,2008-07-08
NOTHING TO LOSE,Lee Child,Delacorte,Jack Reacher exposes the secrets of a Colorado town.,6,3,9780385340564,hardcover-fiction,2008-07-08
PLAGUE SHIP,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,7,3,9780399154973,hardcover-fiction,2008-07-08
THE BROKEN WINDOW,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,8,2,9781416549970,hardcover-fiction,2008-07-08
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,9,2,9780061374227,hardcover-fiction,2008-07-08
NO CHOICE BUT SEDUCTION,Johanna Lindsey,Pocket Books,"Sir Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd Anderson.",10,1,9781416537328,hardcover-fiction,2008-07-08
THE BEACH HOUSE,Jane Green,Viking,A woman’s life changes when she rents out rooms in her Nantucket house.,11,1,9780670018857,hardcover-fiction,2008-07-08
ODD HOURS,Dean R. Koontz,Bantam,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",12,5,9780553807059,hardcover-fiction,2008-07-08
MARRIED LOVERS,Jackie Collins,St. Martin’s,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,13,2,9780312341817,hardcover-fiction,2008-07-08
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love.,14,8,9780399155000,hardcover-fiction,2008-07-08
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",15,5,9780061537936,hardcover-fiction,2008-07-08
BLOOD NOIR,Laurell K. Hamilton,Berkley,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,16,4,9780425222195,hardcover-fiction,2008-07-08
SNUFF,Chuck Palahniuk,Anchor,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,17,0,9780385517881,hardcover-fiction,2008-07-08
DEATH AND HONOR,W. E. B. Griffin and William E. Butterworth IV,Putnam,A Marine pilot spies in Argentina in 1943; the fourth book in the Honor Bound series.,18,0,9780399154980,hardcover-fiction,2008-07-08
THE SPIES OF WARSAW,Alan Furst,Random House,Intrigue in Poland just before World War II.,19,0,9781400066025,hardcover-fiction,2008-07-08
PHANTOM PREY,John Sandford,Putnam,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,20,0,9780446195973,hardcover-fiction,2008-07-08
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,1,3,9780316143479,hardcover-nonfiction,2008-07-08
WHAT HAPPENED,Scott McClellan,PublicAffairs,A former White House press secretary regrets that “I allowed myself to be deceived” by top officials.,2,4,9781586485566,hardcover-nonfiction,2008-07-08
THE MONSTER OF FLORENCE,Douglas Preston with Mario Spezi,Grand Central,An American writer who moved to Florence works with an Italian journalist to discover the identity of a local serial killer.,3,2,9780446581196,hardcover-nonfiction,2008-07-08
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,4,9,9781416954125,hardcover-nonfiction,2008-07-08
BIG RUSS AND ME,Tim Russert,Miramax/­Hyperion,The journalist remembers his father and the other important teachers in his life.,5,13,9781401359652,hardcover-nonfiction,2008-07-08
AUDITION,Barbara Walters,Knopf,A personal and professional memoir.,6,7,9780739327302,hardcover-nonfiction,2008-07-08
THE POST-AMERICAN WORLD: RELEASE 2.0,Fareed Zakaria,Norton,The rise of China and India and the global distribution of power.,7,8,9780393062359,hardcover-nonfiction,2008-07-08
WISDOM OF OUR FATHERS,Tim Russert,Random House,"The journalist presents readers’ letters about their fathers in response to his memoir, “Big Russ and Me.”",8,10,9781400064809,hardcover-nonfiction,2008-07-08
ME OF LITTLE FAITH,Lewis Black,Riverhead,The stand-up comedian’s essays about religion.,9,3,9781594489945,hardcover-nonfiction,2008-07-08
THE REVOLUTION,Ron Paul,Grand Central,A liberatarian manifesto from the Texas congressman and Republican candidate.,10,7,9780446537513,hardcover-nonfiction,2008-07-08
ALWAYS BY MY SIDE,Jim Nantz with Eli Spielman,Gotham,"Remembering two decades with CBS Sports, with a focus on father-son relationships.",11,5,9781592403615,hardcover-nonfiction,2008-07-08
THE PROSECUTION OF GEORGE W. BUSH FOR MURDER,Vincent Bugliosi,Vanguard,"The Manson prosecutor makes a case for trying the president for the deaths of 4,000 American soldiers in Iraq.",12,2,9781593154813,hardcover-nonfiction,2008-07-08
THE REVOLUTION,Ron Paul,Grand Central,A liberatarian manifesto from the Texas congressman and Republican candidate.,13,9,9780446537513,hardcover-nonfiction,2008-07-08
"CHURCHILL, HITLER, AND “THE UNNECESSARY WAR,”",Patrick J. Buchanan,Crown,"British blunders led to World War II, Buchanan argues.",14,4,9780307405159,hardcover-nonfiction,2008-07-08
STOLEN INNOCENCE,Elissa Wall with Lisa Pulitzer,Harper,The star witness against the polygamous sect leader Warren Jeffs describes how he forced her to marry her first cousin when she was 14.,15,5,9780061628016,hardcover-nonfiction,2008-07-08
I AM AMERICA (AND SO CAN YOU!),Stephen Colbert,Grand Central,The wit and wisdom of the mock pundit of Comedy Central’s “Colbert Report.”,16,27,9780446580502,hardcover-nonfiction,2008-07-08
STORI TELLING,Tori Spelling with Hilary Liftin,Simon Spotlight Entertainment,"The actress’s memoir, from her Hollywood childhood through “Beverly Hills, 90210,” to her son’s birth.",17,0,9781416950738,hardcover-nonfiction,2008-07-08
FREAKONOMICS,Steven D. Levitt and Stephen J. Dubner,Morrow,"How to apply economic theory to almost everything.
",18,0,9780061234002,hardcover-nonfiction,2008-07-08
BEAUTIFUL BOY,David Sheff,Houghton Mifflin,A father struggles with his son’s meth addiction.,19,0,9780618683352,hardcover-nonfiction,2008-07-08
A CHAMPION'S MIND,Peter Bodo,Crown Publishing Group,The tennis star reviews his life and career.,20,0,9780307383297,hardcover-nonfiction,2008-07-08
FEARLESS FOURTEEN,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,1,2,9780312349516,hardcover-fiction,2008-07-15
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,2,3,9780316018708,hardcover-fiction,2008-07-15
TAILSPIN,Catherine Coulter,Putnam,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,3,1,9780399155031,hardcover-fiction,2008-07-15
ROGUE,Danielle Steel,Delacorte,A divorced doctor about to remarry faces a quandary when her ex-husband asks her to work with him on a humanitarian project.,4,1,9780385340250,hardcover-fiction,2008-07-15
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",5,8,9780316068048,hardcover-fiction,2008-07-15
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,6,3,9780061374227,hardcover-fiction,2008-07-15
THE LAST ORACLE,James Rollins,Morrow,Sigma Force operatives battle a group of rogue scientists.,7,1,9780061230943,hardcover-fiction,2008-07-15
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",8,5,9780743290111,hardcover-fiction,2008-07-15
THE BEACH HOUSE,Jane Green,Viking,A woman’s life changes when she rents out rooms in her Nantucket house.,9,2,9780670018857,hardcover-fiction,2008-07-15
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,10,7,9780312348670,hardcover-fiction,2008-07-15
NOTHING TO LOSE,Lee Child,Delacorte,Jack Reacher exposes the secrets of a Colorado town.,11,4,9780385340564,hardcover-fiction,2008-07-15
THE BROKEN WINDOW,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,12,3,9781416549970,hardcover-fiction,2008-07-15
PLAGUE SHIP,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,13,4,9780399154973,hardcover-fiction,2008-07-15
ODD HOURS,Dean R. Koontz,Bantam,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",14,6,9780553807059,hardcover-fiction,2008-07-15
AMERICA AMERICA,Ethan Canin,Random House,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,15,1,9780679456803,hardcover-fiction,2008-07-15
NO CHOICE BUT SEDUCTION,Johanna Lindsey,Pocket Books,"Sir Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd Anderson.",16,0,9781416537328,hardcover-fiction,2008-07-15
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",17,0,9780061537936,hardcover-fiction,2008-07-15
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love.,18,0,9780399155000,hardcover-fiction,2008-07-15
MARRIED LOVERS,Jackie Collins,St. Martin’s,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,19,0,9780312341817,hardcover-fiction,2008-07-15
QUEEN OF BABBLE GETS HITCHED,Meg Cabot,HarperCollins Publishers,,20,0,9780060852023,hardcover-fiction,2008-07-15
TRIBUTE,Nora Roberts,Putnam,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",1,2,9780399154911,hardcover-fiction,2008-08-05
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,2,6,9780061374227,hardcover-fiction,2008-08-05
RULES OF DECEPTION,Christopher Reich,Doubleday,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,3,1,9780385524063,hardcover-fiction,2008-08-05
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",4,11,9780316068048,hardcover-fiction,2008-08-05
THE LAST PATRIOT,Brad Thor,Atria,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",5,3,9781416543831,hardcover-fiction,2008-08-05
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,6,6,9780316018708,hardcover-fiction,2008-08-05
FEARLESS FOURTEEN,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,7,5,9780312349516,hardcover-fiction,2008-08-05
JUST TOO GOOD TO BE TRUE,E. Lynn Harris,Double­day,"Secrets threaten the relationship between a mother, a successful Atlanta entrepreneur, and her son, a college football player who is bound for the N.F.L.",8,1,9780385492720,hardcover-fiction,2008-08-05
SWAN PEAK,James Lee Burke,Simon & Schuster,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,9,2,9781416548522,hardcover-fiction,2008-08-05
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",10,8,9780743290111,hardcover-fiction,2008-08-05
TAILSPIN,Catherine Coulter,Putnam,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,11,4,9780399155031,hardcover-fiction,2008-08-05
SAY GOODBYE,Lisa Gardner,Bantam,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,12,1,9780553804331,hardcover-fiction,2008-08-05
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,13,10,9780312348670,hardcover-fiction,2008-08-05
THE BEACH HOUSE,Jane Green,Viking,A woman’s life changes when she rents out rooms in her Nantucket house.,14,5,9780670018857,hardcover-fiction,2008-08-05
KILLER VIEW,Ridley Pearson,Putnam,"A sheriff in Sun Valley, Idaho, investigates a series of crimes against a backdrop of conflict between wealthy vacationers and locals.",15,1,9780399155055,hardcover-fiction,2008-08-05
CHASING DARKNESS,Robert Crais,Simon & Schuster,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,16,0,9780743281645,hardcover-fiction,2008-08-05
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",17,0,9780061537936,hardcover-fiction,2008-08-05
A THOUSAND SPLENDID SUNS,Khaled Hosseini,Riverhead,A friendship between two Afghan women — born a generation apart and with very different ideas about love and family — against the backdrop of 30 years of war.,18,0,9781594489501,hardcover-fiction,2008-08-05
THE LAST ORACLE,James Rollins,Morrow,Sigma Force operatives battle a group of rogue scientists.,19,0,9780061230943,hardcover-fiction,2008-08-05
THE ENCHANTRESS OF FLORENCE,Salman Rushdie,Random House,,20,0,9780375504334,hardcover-fiction,2008-08-05
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Little, Brown",The humorist’s latest essays.,1,7,9780316143479,hardcover-nonfiction,2008-08-05
LIFE WITH MY SISTER MADONNA,Christopher Ciccone with Wendy Leigh,Simon Spotlight Entertainment,What she’s really like.,2,1,9781416587620,hardcover-nonfiction,2008-08-05
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,Humorous personal essays from the comedian.,3,13,9781416954125,hardcover-nonfiction,2008-08-05
THE DARK SIDE,Jane Mayer,Anchor,How the Bush administration embraced the practice of torture.,4,1,9780385526395,hardcover-nonfiction,2008-08-05
STORI TELLING,Tori Spelling with Hilary Liftin,Simon Spotlight Entertainment,"The actress’s memoir, from her Hollywood childhood through “Beverly Hills, 90210,” to her son’s birth.",5,8,9781416950738,hardcover-nonfiction,2008-08-05
FLEECED,Dick Morris and Eileen McGann,Harper,"Americans are fleeced by government, business, labor unions and lobbyists.",6,4,9780061547751,hardcover-nonfiction,2008-08-05
WHAT HAPPENED,Scott McClellan,PublicAffairs,A former White House press secretary regrets that “I allowed myself to be deceived” by top officials.,7,8,9781586485566,hardcover-nonfiction,2008-08-05
THE MONSTER OF FLORENCE,Douglas Preston with Mario Spezi,Grand Central,An American writer who moved to Florence works with an Italian journalist to discover the identity of a local serial killer.,8,6,9780446581196,hardcover-nonfiction,2008-08-05
THE POST-AMERICAN WORLD: RELEASE 2.0,Fareed Zakaria,Norton,The rise of China and India and the global distribution of power.,9,12,9780393062359,hardcover-nonfiction,2008-08-05
THE PROSECUTION OF GEORGE W. BUSH FOR MURDER,Vincent Bugliosi,Vanguard,"The Manson prosecutor makes a case for trying the president for the deaths of 4,000 American soldiers in Iraq.",10,6,9781593154813,hardcover-nonfiction,2008-08-05
AUDITION,Barbara Walters,Knopf,A personal and professional memoir.,11,11,9780739327302,hardcover-nonfiction,2008-08-05
MY STROKE OF INSIGHT,Jill Bolte Taylor,Viking,A brain scientist shares what she learned from her 1996 stroke.,12,7,9780670020744,hardcover-nonfiction,2008-08-05
ROME 1960,David Maraniss,Simon & Schuster,How the 1960 Olympic Games reflected their time.,13,3,9781416534075,hardcover-nonfiction,2008-08-05
YANKEE FOR LIFE,Bobby Murcer with Glen Waggoner,Harper,Recalling a career as a player and broadcaster.,14,1,9780061473418,hardcover-nonfiction,2008-08-05
I AM AMERICA (AND SO CAN YOU!),Stephen Colbert,Grand Central,The wit and wisdom of the mock pundit of Comedy Central’s “Colbert Report.”,15,29,9780446580502,hardcover-nonfiction,2008-08-05
BEAUTIFUL BOY,David Sheff,Houghton Mifflin,A father struggles with his son’s meth addiction.,16,13,9780618683352,hardcover-nonfiction,2008-08-05
MY CUSTOM VAN,Michael Ian Black,Simon Spotlight Entertainment,,17,0,9781416964056,hardcover-nonfiction,2008-08-05
FREAKONOMICS,Steven D. Levitt and Stephen J. Dubner,Morrow,"How to apply economic theory to almost everything.
",18,0,9780061234002,hardcover-nonfiction,2008-08-05
A LONG WAY GONE,Ishmael Beah,"Sarah Crichton/Farrar, Straus & Giroux",A former child soldier's killing spree and return to humanity.,19,0,9780374105235,hardcover-nonfiction,2008-08-05
IN DEFENSE OF FOOD,Michael Pollan,Penguin Press,A manifesto urges us to “Eat food. Not too much. Mostly plants.”,20,0,9781594201455,hardcover-nonfiction,2008-08-05
THE SECRET SERVANT,Daniel Silva,Signet,"Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.",1,1,9780451224507,hardcover-fiction,2008-08-12
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,2,7,9780061374227,hardcover-fiction,2008-08-12
THE HOST,Stephenie Meyer,"Little, Brown","In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.",3,12,9780316068048,hardcover-fiction,2008-08-12
TRIBUTE,Nora Roberts,Putnam,"A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.",4,3,9780399154911,hardcover-fiction,2008-08-12
THE LAST PATRIOT,Brad Thor,Atria,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",5,4,9781416543831,hardcover-fiction,2008-08-12
SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,6,7,9780316018708,hardcover-fiction,2008-08-12
INTO THE FIRE,Suzanne Brockmann,Ballantine,A former employee of an elite security company comes out of hiding to confront a murderous neo-Nazi group.,7,1,9780345501530,hardcover-fiction,2008-08-12
DAMAGE CONTROL,J. A. Jance,Morrow,An elderly couple’s suicide-by-accident in the mountains is not what it appears; the 13th Joanna Brady mystery.,8,1,9780060746766,hardcover-fiction,2008-08-12
FEARLESS FOURTEEN,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,9,6,9780312349516,hardcover-fiction,2008-08-12
CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",10,9,9780743290111,hardcover-fiction,2008-08-12
RULES OF DECEPTION,Christopher Reich,Doubleday,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,11,2,9780385524063,hardcover-fiction,2008-08-12
SWAN PEAK,James Lee Burke,Simon & Schuster,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,12,3,9781416548522,hardcover-fiction,2008-08-12
JUST TOO GOOD TO BE TRUE,E. Lynn Harris,Double­day,"Secrets threaten the relationship between a mother, a successful Atlanta entrepreneur, and her son, a college football player who is bound for the N.F.L.",13,2,9780385492720,hardcover-fiction,2008-08-12
SAY GOODBYE,Lisa Gardner,Bantam,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,14,2,9780553804331,hardcover-fiction,2008-08-12
LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman's happy marriage is shaken when she encounters an old boyfriend.,15,11,9780312348670,hardcover-fiction,2008-08-12
THE BEACH HOUSE,Jane Green,Viking,A woman’s life changes when she rents out rooms in her Nantucket house.,16,6,9780670018857,hardcover-fiction,2008-08-12
TAILSPIN,Catherine Coulter,Putnam,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.,17,0,9780399155031,hardcover-fiction,2008-08-12
BY SCHISM RENT ASUNDER,David Weber,Tor,,18,0,9780765315014,hardcover-fiction,2008-08-12
THE ART OF RACING IN THE RAIN,Garth Stein,Harper,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",19,0,9780061537936,hardcover-fiction,2008-08-12
